neighbourhood,donkey,,,,,,,,,
,,,,,,,,,,
Gemeente,a aantal beschikbare voertuigen,b verhuringen per dag,c aantal verhuringen per voertuig per dag.,d aantal > 24 uur te huur,e % > 24 uur te huur,f aantal > 4 dagen te huur,g % > 4 dagen te huur,h aantal > 7 dagen te huur,i % > 7 dagen te huur,j Gemiddelde verhuurduur in minuten
Westlandgracht,1,1,1.0,0,50%,0,22%,0,13%,1432.1
Willemspark,,,,,,,,,,
Zeeburgereiland/Nieuwe Diep,1,0,0.2,1,84%,1,67%,0,59%,5222.2
Zuid Pijp,0,0,1.4,0,44%,0,12%,0,4%,1579.0
Zuidas,19,7,0.4,16,80%,11,59%,9,49%,2146.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Legenda,,,,,,,,,,
a: Het aantal deelfietsen dat te huur wordt aangeboden in periode x en  in gebied y; Deze indicator wordt in twee stappen berekend. Eerst wordt elke nacht in periode x om 3:00 uur vastgesteld hoeveel deelfietsen in gebied y worden aangeboden. Vervolgens wordt het gemiddelde genomen van alle nachten in periode x.,,,,,,,,,,
b: Aantal verhuringen per dag in periode x en in gebied y = som van de verhuringen in periode x  en in gebied y gedeeld door het aantal dagen in periode x.,,,,,,,,,,
c: Aantal verhuringen per fiets per dag in periode x  in gebied y = Indicator b gedeeld door indicator a.,,,,,,,,,,
d: Aantal deelfietsen dat langer 1 dag te huur staat in periode x en in gebied y = De som van het aantal te-huur-events die gestart zijn in periode x en in gebied y die een minimale duur hebben van 1 dag. Let op: deze indicator is pas stabiel als deze minimaal 1 dag na het verstrijken van periode x opgevraagd wordt.,,,,,,,,,,
e: Percentage van de  deelfietsen dat langer 1 dag te huur staat in periode x en in gebied y. Deze indicator wordt in twee stappen berekend. Eerst wordt elke nacht in periode x om 3:00 uur bepaald welk deel van de deelfietsen langer dan 1 dag te huur staat. Vervolgens wordt het gemiddelde genomen voor alle nachten in periode x.,,,,,,,,,,
f: Aantal deelfietsen dat langer 4 dagen te huur staat; Zie d.,,,,,,,,,,
g: Percentage van de  deelfietsen dat langer 4 dagen te huur staat; Zie e,,,,,,,,,,
h: Aantal deelfietsen dat langer 7 dagen te huur staat; Zie d.,,,,,,,,,,
i: Percentage van de  deelfietsen dat langer 7 dagen te huur staat; Zie e.  ,,,,,,,,,,
j: Gemiddelde verhuurduur voor voertuigen (eindigend) in zone.,,,,,,,,,,
